Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
662,Random,0.2,85.15,89.59,39.9890296459198,1.2548862445280227,162190.0,89.18,203264.0,
731,Random,0.2,85.15,88.61,39.83064794540405,1.2548862445280227,162190.0,89.18,203264.0,
750,Random,0.2,85.15,89.85,39.829336404800415,1.2548862445280227,162190.0,89.18,203264.0,
83,Random,0.2,85.1,89.08,39.978331327438354,1.2548862445280227,162190.0,89.18,203264.0,
404,Random,0.2,85.1,88.74,39.9806227684021,1.2548862445280227,162190.0,89.18,203264.0,
468,Random,0.2,85.1,89.35,39.91398477554321,1.2548862445280227,162190.0,89.18,203264.0,
478,Random,0.2,85.1,89.92,39.82800364494324,1.2548862445280227,162190.0,89.18,203264.0,
507,Random,0.2,85.1,89.48,39.876365184783936,1.2548862445280227,162190.0,89.18,203264.0,
343,Random,0.2,85.1,89.34,39.9491708278656,1.2548862445280227,162190.0,89.18,203264.0,
363,Random,0.2,85.1,89.79,39.9865620136261,1.2548862445280227,162190.0,89.18,203264.0,
828,Random,0.2,85.1,88.79,39.954081296920776,1.2548862445280227,162190.0,89.18,203264.0,
856,Random,0.2,85.1,89.88,39.81133723258972,1.2548862445280227,162190.0,89.18,203264.0,
780,Random,0.2,85.1,90.16,39.894469261169434,1.2548862445280227,162190.0,89.18,203264.0,
5,Random,0.2,85.05,90.32,39.94977831840515,1.2548862445280227,162190.0,89.18,203264.0,
105,Random,0.2,85.05,89.39,39.93279314041138,1.2548862445280227,162190.0,89.18,203264.0,
167,Random,0.2,85.05,90.01,39.94498252868652,1.2548862445280227,162190.0,89.18,203264.0,
464,Random,0.2,85.05,90.0,39.822710037231445,1.2548862445280227,162190.0,89.18,203264.0,
285,Random,0.2,85.05,89.37,39.88425850868225,1.2548862445280227,162190.0,89.18,203264.0,
328,Random,0.2,85.05,89.16,39.901557207107544,1.2548862445280227,162190.0,89.18,203264.0,
332,Random,0.2,85.05,89.5,39.893656492233276,1.2548862445280227,162190.0,89.18,203264.0,
846,Random,0.2,85.05,90.11,39.95979332923889,1.2548862445280227,162190.0,89.18,203264.0,
889,Random,0.2,85.05,89.13,39.78728151321411,1.2548862445280227,162190.0,89.18,203264.0,
961,Random,0.2,85.05,88.97,39.97825026512146,1.2548862445280227,162190.0,89.18,203264.0,
109,Random,0.2,85.0,89.13,39.89175629615784,1.2548862445280227,162190.0,89.18,203264.0,
136,Random,0.2,85.0,89.63,39.93837857246399,1.2548862445280227,162190.0,89.18,203264.0,
585,Random,0.2,85.0,89.02,39.9980354309082,1.2548862445280227,162190.0,89.18,203264.0,
596,Random,0.2,85.0,89.4,39.822797775268555,1.2548862445280227,162190.0,89.18,203264.0,
221,Random,0.2,85.0,89.6,39.82774901390076,1.2548862445280227,162190.0,89.18,203264.0,
223,Random,0.2,85.0,88.93,39.92639088630676,1.2548862445280227,162190.0,89.18,203264.0,
270,Random,0.2,85.0,88.64,39.91551685333252,1.2548862445280227,162190.0,89.18,203264.0,
301,Random,0.2,85.0,88.61,39.85629916191101,1.2548862445280227,162190.0,89.18,203264.0,
381,Random,0.2,85.0,89.55,39.796414375305176,1.2548862445280227,162190.0,89.18,203264.0,
867,Random,0.2,85.0,89.57,39.87603139877319,1.2548862445280227,162190.0,89.18,203264.0,
885,Random,0.2,85.0,89.91,39.95081043243408,1.2548862445280227,162190.0,89.18,203264.0,
898,Random,0.2,85.0,88.99,39.91084051132202,1.2548862445280227,162190.0,89.18,203264.0,
918,Random,0.2,85.0,90.07,40.00466275215149,1.2548862445280227,162190.0,89.18,203264.0,
