Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
227,97.96,Random,0.3,97.49,97.85
228,97.96,Random,0.3,97.73,97.94
229,97.96,Random,0.3,97.7,97.98
230,97.96,Random,0.3,97.71,97.87
231,97.96,Random,0.3,97.44,97.81
232,97.96,Random,0.3,97.4,98.05
233,97.96,Random,0.3,97.51,97.95
234,97.96,Random,0.3,97.54,97.99
235,97.96,Random,0.3,97.28,97.88
236,97.96,Random,0.3,97.43,97.84
237,97.96,Random,0.3,97.47,97.87
238,97.96,Random,0.3,97.44,97.87
239,97.96,Random,0.3,97.25,97.96
240,97.96,Random,0.3,97.46,97.94
241,97.96,Random,0.3,97.33,97.92
242,97.96,Random,0.3,97.56,97.82
243,97.96,Random,0.3,97.53,98.03
244,97.96,Random,0.3,97.36,98.06
245,97.96,Random,0.3,97.66,98.0
246,97.96,Random,0.3,97.7,97.77
247,97.96,Random,0.3,97.46,97.89
248,97.96,Random,0.3,97.5,98.03
249,97.96,Random,0.3,97.64,97.74
250,97.96,Random,0.3,97.29,97.81
251,97.96,Random,0.3,97.14,97.94
252,97.96,Random,0.3,97.24,97.84
253,97.96,Random,0.3,97.58,97.88
254,97.96,Random,0.3,97.73,97.92
255,97.96,Random,0.3,97.37,97.95
256,97.96,Random,0.3,97.14,97.87
257,97.96,Random,0.3,97.11,97.99
258,97.96,Random,0.3,97.6,98.03
259,97.96,Random,0.3,97.56,97.76
260,97.96,Random,0.3,97.45,97.95
261,97.96,Random,0.3,97.65,98.0
262,97.96,Random,0.3,97.58,98.03
263,97.96,Random,0.3,97.58,97.93
264,97.96,Random,0.3,96.96,98.01
265,97.96,Random,0.3,97.4,97.94
266,97.96,Random,0.3,97.61,98.12
267,97.96,Random,0.3,97.5,97.86
268,97.96,Random,0.3,97.62,97.97
269,97.96,Random,0.3,97.17,97.94
270,97.96,Random,0.3,97.5,97.99
271,97.96,Random,0.3,97.19,98.03
272,97.96,Random,0.3,97.43,97.93
273,97.96,Random,0.3,97.34,97.99
274,97.96,Random,0.3,97.53,98.01
275,97.96,Random,0.3,97.36,97.82
276,97.96,Random,0.3,97.36,97.74
277,97.96,Random,0.3,97.34,97.93
278,97.96,Random,0.3,97.84,98.03
279,97.96,Random,0.3,97.56,97.86
280,97.96,Random,0.3,97.48,97.76
281,97.96,Random,0.3,97.67,97.94
282,97.96,Random,0.3,97.41,98.0
283,97.96,Random,0.3,97.44,97.83
284,97.96,Random,0.3,97.46,97.89
285,97.96,Random,0.3,97.58,98.0
286,97.96,Random,0.3,97.42,98.06
287,97.96,Random,0.3,97.53,98.0
288,97.96,Random,0.3,97.71,97.85
289,97.96,Random,0.3,97.37,98.06
290,97.96,Random,0.3,97.51,98.01
291,97.96,Random,0.3,97.32,97.87
292,97.96,Random,0.3,97.54,98.09
293,97.96,Random,0.3,97.24,97.87
294,97.96,Random,0.3,97.43,97.85
295,97.96,Random,0.3,97.24,97.9
296,97.96,Random,0.3,97.48,97.95
297,97.96,Random,0.3,97.62,97.89
298,97.96,Random,0.3,97.17,97.87
299,97.96,Random,0.3,97.51,97.9
300,97.96,Random,0.3,97.33,98.04
301,97.96,Random,0.3,97.22,97.98
302,97.96,Random,0.3,97.35,97.99
303,97.96,Random,0.3,97.36,97.85
304,97.96,Random,0.3,97.35,97.96
305,97.96,Random,0.3,97.57,97.85
306,97.96,Random,0.3,97.48,98.03
307,97.96,Random,0.3,97.43,97.88
308,97.96,Random,0.3,97.43,97.96
309,97.96,Random,0.3,97.34,98.09
310,97.96,Random,0.3,97.34,97.96
311,97.96,Random,0.3,97.19,97.95
312,97.96,Random,0.3,97.46,97.86
313,97.96,Random,0.3,97.3,97.99
314,97.96,Random,0.3,97.45,97.87
315,97.96,Random,0.3,97.47,97.98
316,97.96,Random,0.3,97.39,97.87
317,97.96,Random,0.3,97.11,98.06
318,97.96,Random,0.3,97.73,97.94
319,97.96,Random,0.3,97.47,97.74
320,97.96,Random,0.3,97.61,97.9
321,97.96,Random,0.3,97.62,97.96
322,97.96,Random,0.3,97.47,97.91
323,97.96,Random,0.3,97.35,97.97
324,97.96,Random,0.3,97.73,98.1
325,97.96,Random,0.3,97.65,98.03
326,97.96,Random,0.3,97.6,97.93
327,97.96,Random,0.3,97.75,98.01
328,97.96,Random,0.3,97.52,97.99
329,97.96,Random,0.3,97.54,97.95
330,97.96,Random,0.3,97.64,98.01
331,97.96,Random,0.3,97.4,97.94
332,97.96,Random,0.3,97.26,98.06
333,97.96,Random,0.3,97.53,97.82
334,97.96,Random,0.3,97.82,97.79
335,97.96,Random,0.3,97.39,97.89
336,97.96,Random,0.3,97.59,98.11
337,97.96,Random,0.3,97.53,97.99
338,97.96,Random,0.3,97.6,97.94
339,97.96,Random,0.3,97.56,97.95
340,97.96,Random,0.3,97.48,97.97
341,97.96,Random,0.3,97.29,97.87
342,97.96,Random,0.3,97.51,98.07
343,97.96,Random,0.3,97.3,97.95
344,97.96,Random,0.3,97.21,98.01
345,97.96,Random,0.3,97.65,97.86
346,97.96,Random,0.3,97.44,97.98
347,97.96,Random,0.3,97.29,97.96
348,97.96,Random,0.3,97.42,98.02
349,97.96,Random,0.3,97.56,97.93
350,97.96,Random,0.3,97.04,97.81
351,97.96,Random,0.3,97.36,97.99
352,97.96,Random,0.3,97.6,97.98
353,97.96,Random,0.3,97.38,97.78
354,97.96,Random,0.3,97.36,97.93
355,97.96,Random,0.3,97.68,97.99
356,97.96,Random,0.3,97.48,97.96
357,97.96,Random,0.3,97.45,97.93
358,97.96,Random,0.3,97.53,97.97
359,97.96,Random,0.3,97.52,97.93
360,97.96,Random,0.3,97.54,97.95
361,97.96,Random,0.3,97.74,98.07
362,97.96,Random,0.3,97.69,98.06
363,97.96,Random,0.3,97.51,97.88
364,97.96,Random,0.3,97.57,97.99
365,97.96,Random,0.3,97.61,97.91
366,97.96,Random,0.3,97.56,98.02
367,97.96,Random,0.3,97.51,98.16
368,97.96,Random,0.3,97.62,97.89
369,97.96,Random,0.3,97.56,97.96
370,97.96,Random,0.3,97.25,97.93
371,97.96,Random,0.3,97.53,98.03
372,97.96,Random,0.3,97.49,97.97
373,97.96,Random,0.3,97.51,97.97
374,97.96,Random,0.3,97.46,97.7
375,97.96,Random,0.3,97.2,97.87
376,97.96,Random,0.3,97.81,98.05
377,97.96,Random,0.3,97.42,97.99
378,97.96,Random,0.3,97.51,97.99
379,97.96,Random,0.3,97.61,97.92
380,97.96,Random,0.3,97.54,97.87
381,97.96,Random,0.3,97.54,97.78
382,97.96,Random,0.3,97.41,98.01
383,97.96,Random,0.3,97.44,98.01
384,97.96,Random,0.3,97.43,97.97
385,97.96,Random,0.3,97.57,97.87
