Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
84,Random,0.3,87.85,88.91,41.2877254486084,1.4301373713241752,142315.0,88.71,203264.0
120,Random,0.3,87.85,89.01,41.81384515762329,1.4301373713241752,142315.0,88.71,203264.0
190,Random,0.3,87.8,88.77,41.30060887336731,1.4301373713241752,142315.0,88.71,203264.0
217,Random,0.3,87.8,88.68,43.57779121398926,1.4301373713241752,142315.0,88.71,203264.0
488,Random,0.3,87.8,88.67,43.93008589744568,1.4301373713241752,142315.0,88.71,203264.0
616,Random,0.3,87.8,89.05,41.425238609313965,1.4301373713241752,142315.0,88.71,203264.0
770,Random,0.3,87.8,88.54,41.69982409477234,1.4301373713241752,142315.0,88.71,203264.0
128,Random,0.3,87.8,88.91,41.182995319366455,1.4301373713241752,142315.0,88.71,203264.0
429,Random,0.3,87.75,88.98,41.15420317649841,1.4301373713241752,142315.0,88.71,203264.0
351,Random,0.3,87.75,88.9,42.51140117645264,1.4301373713241752,142315.0,88.71,203264.0
154,Random,0.3,87.75,88.72,43.42440390586853,1.4301373713241752,142315.0,88.71,203264.0
212,Random,0.3,87.75,88.95,43.78256940841675,1.4301373713241752,142315.0,88.71,203264.0
238,Random,0.3,87.75,88.68,41.3609254360199,1.4301373713241752,142315.0,88.71,203264.0
631,Random,0.3,87.75,88.89,41.813520669937134,1.4301373713241752,142315.0,88.71,203264.0
497,Random,0.3,87.75,89.16,42.53442096710205,1.4301373713241752,142315.0,88.71,203264.0
701,Random,0.3,87.75,88.51,42.888357639312744,1.4301373713241752,142315.0,88.71,203264.0
674,Random,0.3,87.75,88.11,43.58243536949158,1.4301373713241752,142315.0,88.71,203264.0
861,Random,0.3,87.75,89.01,42.695164918899536,1.4301373713241752,142315.0,88.71,203264.0
835,Random,0.3,87.75,88.8,43.11613607406616,1.4301373713241752,142315.0,88.71,203264.0
385,Random,0.3,87.7,88.97,41.28555107116699,1.4301373713241752,142315.0,88.71,203264.0
393,Random,0.3,87.7,88.98,43.058154344558716,1.4301373713241752,142315.0,88.71,203264.0
422,Random,0.3,87.7,88.58,42.26657748222351,1.4301373713241752,142315.0,88.71,203264.0
179,Random,0.3,87.7,88.62,41.841803312301636,1.4301373713241752,142315.0,88.71,203264.0
247,Random,0.3,87.7,88.96,42.45463991165161,1.4301373713241752,142315.0,88.71,203264.0
598,Random,0.3,87.7,89.22,42.690215826034546,1.4301373713241752,142315.0,88.71,203264.0
607,Random,0.3,87.7,88.85,42.61055946350098,1.4301373713241752,142315.0,88.71,203264.0
693,Random,0.3,87.7,88.97,41.89589834213257,1.4301373713241752,142315.0,88.71,203264.0
883,Random,0.3,87.7,89.02,42.16570544242859,1.4301373713241752,142315.0,88.71,203264.0
710,Random,0.3,87.7,88.58,42.797616720199585,1.4301373713241752,142315.0,88.71,203264.0
989,Random,0.3,87.7,88.55,41.16651892662048,1.4301373713241752,142315.0,88.71,203264.0
939,Random,0.3,87.7,88.61,42.19602584838867,1.4301373713241752,142315.0,88.71,203264.0
727,Random,0.3,87.7,88.78,42.723668813705444,1.4301373713241752,142315.0,88.71,203264.0
751,Random,0.3,87.7,88.41,42.820061683654785,1.4301373713241752,142315.0,88.71,203264.0
778,Random,0.3,87.7,88.71,42.349451303482056,1.4301373713241752,142315.0,88.71,203264.0
832,Random,0.3,87.7,89.2,42.253671169281006,1.4301373713241752,142315.0,88.71,203264.0
49,Random,0.3,87.7,88.83,42.508357763290405,1.4301373713241752,142315.0,88.71,203264.0
94,Random,0.3,87.7,88.94,41.72248601913452,1.4301373713241752,142315.0,88.71,203264.0
328,Random,0.3,87.65,88.07,41.5099675655365,1.4301373713241752,142315.0,88.71,203264.0
361,Random,0.3,87.65,88.76,42.75677752494812,1.4301373713241752,142315.0,88.71,203264.0
214,Random,0.3,87.65,88.89,42.65533185005188,1.4301373713241752,142315.0,88.71,203264.0
433,Random,0.3,87.65,88.95,41.3325560092926,1.4301373713241752,142315.0,88.71,203264.0
453,Random,0.3,87.65,88.46,42.64372134208679,1.4301373713241752,142315.0,88.71,203264.0
496,Random,0.3,87.65,88.9,42.3000545501709,1.4301373713241752,142315.0,88.71,203264.0
542,Random,0.3,87.65,88.54,41.8140606880188,1.4301373713241752,142315.0,88.71,203264.0
556,Random,0.3,87.65,88.96,41.83822536468506,1.4301373713241752,142315.0,88.71,203264.0
579,Random,0.3,87.65,88.35,42.73842167854309,1.4301373713241752,142315.0,88.71,203264.0
948,Random,0.3,87.65,88.77,41.97763156890869,1.4301373713241752,142315.0,88.71,203264.0
897,Random,0.3,87.65,88.74,42.89032435417175,1.4301373713241752,142315.0,88.71,203264.0
733,Random,0.3,87.65,88.91,42.1002471446991,1.4301373713241752,142315.0,88.71,203264.0
964,Random,0.3,87.65,88.34,42.61894083023071,1.4301373713241752,142315.0,88.71,203264.0
786,Random,0.3,87.65,88.41,41.75054311752319,1.4301373713241752,142315.0,88.71,203264.0
83,Random,0.3,87.65,88.67,42.753987550735474,1.4301373713241752,142315.0,88.71,203264.0
92,Random,0.3,87.65,89.3,42.904521465301514,1.4301373713241752,142315.0,88.71,203264.0
127,Random,0.3,87.65,88.59,41.88764572143555,1.4301373713241752,142315.0,88.71,203264.0
292,Random,0.3,87.6,88.75,43.176607847213745,1.4301373713241752,142315.0,88.71,203264.0
