Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
118,Random,0.2,88.6,88.92,67.24655628204346,1.2548862445280227,162190.0,88.71,203264.0
142,Random,0.2,88.6,88.62,72.29446816444397,1.2548862445280227,162190.0,88.71,203264.0
858,Random,0.2,88.6,88.91,67.30116486549377,1.2548862445280227,162190.0,88.71,203264.0
482,Random,0.2,88.55,89.03,67.67178273200989,1.2548862445280227,162190.0,88.71,203264.0
561,Random,0.2,88.55,88.1,71.68034958839417,1.2548862445280227,162190.0,88.71,203264.0
303,Random,0.2,88.55,88.9,65.93270635604858,1.2548862445280227,162190.0,88.71,203264.0
364,Random,0.2,88.55,89.03,64.83485627174377,1.2548862445280227,162190.0,88.71,203264.0
707,Random,0.2,88.55,88.08,65.54549622535706,1.2548862445280227,162190.0,88.71,203264.0
864,Random,0.2,88.55,88.86,69.84919095039368,1.2548862445280227,162190.0,88.71,203264.0
998,Random,0.2,88.55,89.02,69.20713806152344,1.2548862445280227,162190.0,88.71,203264.0
162,Random,0.2,88.55,88.27,71.79038429260254,1.2548862445280227,162190.0,88.71,203264.0
168,Random,0.2,88.55,88.76,74.03630423545837,1.2548862445280227,162190.0,88.71,203264.0
227,Random,0.2,88.55,88.82,66.96295976638794,1.2548862445280227,162190.0,88.71,203264.0
233,Random,0.2,88.55,88.78,67.75817465782166,1.2548862445280227,162190.0,88.71,203264.0
275,Random,0.2,88.55,88.57,66.53975009918213,1.2548862445280227,162190.0,88.71,203264.0
50,Random,0.2,88.55,88.7,64.75142359733582,1.2548862445280227,162190.0,88.71,203264.0
24,Random,0.2,88.55,88.44,67.6739752292633,1.2548862445280227,162190.0,88.71,203264.0
63,Random,0.2,88.55,87.76,63.68184804916382,1.2548862445280227,162190.0,88.71,203264.0
809,Random,0.2,88.55,88.73,68.00832438468933,1.2548862445280227,162190.0,88.71,203264.0
479,Random,0.2,88.5,88.48,68.23432922363281,1.2548862445280227,162190.0,88.71,203264.0
494,Random,0.2,88.5,88.56,68.32118892669678,1.2548862445280227,162190.0,88.71,203264.0
536,Random,0.2,88.5,88.99,70.36601161956787,1.2548862445280227,162190.0,88.71,203264.0
542,Random,0.2,88.5,88.98,63.32522392272949,1.2548862445280227,162190.0,88.71,203264.0
374,Random,0.2,88.5,88.72,75.92750358581543,1.2548862445280227,162190.0,88.71,203264.0
394,Random,0.2,88.5,88.81,69.81786489486694,1.2548862445280227,162190.0,88.71,203264.0
591,Random,0.2,88.5,88.98,70.15626788139343,1.2548862445280227,162190.0,88.71,203264.0
606,Random,0.2,88.5,88.42,66.1931483745575,1.2548862445280227,162190.0,88.71,203264.0
618,Random,0.2,88.5,88.49,65.69452476501465,1.2548862445280227,162190.0,88.71,203264.0
654,Random,0.2,88.5,89.06,66.01635575294495,1.2548862445280227,162190.0,88.71,203264.0
945,Random,0.2,88.5,89.38,60.11099624633789,1.2548862445280227,162190.0,88.71,203264.0
276,Random,0.2,88.5,88.99,61.12961935997009,1.2548862445280227,162190.0,88.71,203264.0
212,Random,0.2,88.5,88.67,69.99477338790894,1.2548862445280227,162190.0,88.71,203264.0
278,Random,0.2,88.5,88.68,65.19046688079834,1.2548862445280227,162190.0,88.71,203264.0
