Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
291,Random,0.2,96.6,97.99,39.82925009727478,1.2548862445280227,162190.0,97.89,203264.0,
330,Random,0.2,96.6,98.22,40.01465201377869,1.2548862445280227,162190.0,97.89,203264.0,
652,Random,0.2,96.6,97.82,40.07668614387512,1.2548862445280227,162190.0,97.89,203264.0,
625,Random,0.2,96.6,97.88,40.133395195007324,1.2548862445280227,162190.0,97.89,203264.0,
707,Random,0.2,96.6,97.99,39.56091785430908,1.2548862445280227,162190.0,97.89,203264.0,
750,Random,0.2,96.6,98.09,39.72810673713684,1.2548862445280227,162190.0,97.89,203264.0,
751,Random,0.2,96.6,97.87,40.18440771102905,1.2548862445280227,162190.0,97.89,203264.0,
818,Random,0.2,96.6,97.85,39.94485545158386,1.2548862445280227,162190.0,97.89,203264.0,
853,Random,0.2,96.6,98.11,39.84138226509094,1.2548862445280227,162190.0,97.89,203264.0,
32,Random,0.2,96.55,98.01,40.07655644416809,1.2548862445280227,162190.0,97.89,203264.0,
895,Random,0.2,96.55,97.97,40.06436085700989,1.2548862445280227,162190.0,97.89,203264.0,
112,Random,0.2,96.55,98.26,41.08881664276123,1.2548862445280227,162190.0,97.89,203264.0,
937,Random,0.2,96.55,97.81,39.49968457221985,1.2548862445280227,162190.0,97.89,203264.0,
177,Random,0.2,96.55,98.02,39.98955321311951,1.2548862445280227,162190.0,97.89,203264.0,
207,Random,0.2,96.55,98.03,40.08337688446045,1.2548862445280227,162190.0,97.89,203264.0,
404,Random,0.2,96.55,97.77,39.86774253845215,1.2548862445280227,162190.0,97.89,203264.0,
342,Random,0.2,96.55,97.83,39.80126762390137,1.2548862445280227,162190.0,97.89,203264.0,
343,Random,0.2,96.55,97.94,39.95849633216858,1.2548862445280227,162190.0,97.89,203264.0,
347,Random,0.2,96.55,97.95,40.0792133808136,1.2548862445280227,162190.0,97.89,203264.0,
371,Random,0.2,96.55,98.21,41.15891981124878,1.2548862445280227,162190.0,97.89,203264.0,
599,Random,0.2,96.55,98.1,39.596965312957764,1.2548862445280227,162190.0,97.89,203264.0,
697,Random,0.2,96.55,98.03,39.99400782585144,1.2548862445280227,162190.0,97.89,203264.0,
14,Random,0.2,96.5,97.88,39.73236584663391,1.2548862445280227,162190.0,97.89,203264.0,
713,Random,0.2,96.55,98.01,39.847214460372925,1.2548862445280227,162190.0,97.89,203264.0,
720,Random,0.2,96.55,97.89,39.88036322593689,1.2548862445280227,162190.0,97.89,203264.0,
37,Random,0.2,96.5,98.11,39.97298765182495,1.2548862445280227,162190.0,97.89,203264.0,
